type,description,severity,location.type,location.coordinates[0],location.coordinates[1],location.name,reportedAt,verified
harassment,Agent every development say quality throughout beautiful.,4,Point,77.20937907585704,28.661889783707608,Sadar Bazar,2024-11-25T07:59:06,True
other,Ahead despite measure ago current practice.,5,Point,77.19118739047971,28.64746356535896,Mera Bridge,2025-01-12T02:36:40,True
other,Determine operation speak according south recently future choice whatever from behavior.,3,Point,77.24390264994717,28.568132039225844,Moolchand Flyover,2024-07-22T00:51:02,False
other,Suggest page southern role movie win her need stop peace.,4,Point,77.08771299751936,28.483218860913357,Sikandarpur Metro,2025-05-15T03:04:44,False
poor_lighting,Officer relate animal direction eye bag do big everyone player.,3,Point,77.06981442614442,28.47851095899962,IFFCO Chowk,2024-11-03T03:52:15,False
unsafe_area,Have decide environment view possible participant commercial rock.,2,Point,77.19168791144494,28.648117958760967,Mera Bridge,2024-08-16T22:24:36,True
unsafe_area,Here writer policy news range successful simply director allow firm environment.,2,Point,77.04845706875442,28.61984623152796,Kali Basti,2024-09-04T09:53:28,False
other,Then fire pretty how trip learn enter east no enjoy once today human.,3,Point,77.10619164876731,28.72140914367243,Rithala Metro,2024-09-07T15:36:22,True
harassment,Meeting before another body physical society instead.,3,Point,77.20386025245007,28.52893296733351,Hauzrani,2024-07-09T03:30:35,False
theft,High you more wife team activity result race Mr environment.,4,Point,77.10744035034875,28.720710541400454,Rithala Metro,2025-02-18T09:35:08,False
other,Born itself law west then enjoy may condition tree that.,3,Point,77.13408962185031,28.66626827975406,Zakhira Flyover,2024-10-08T09:05:44,False
other,Participant check several much single morning a food affect upon these story.,3,Point,77.08958570384037,28.693569228501982,Begumpur,2024-10-11T21:37:40,False
harassment,Around there water beat magazine attorney set she campaign.,4,Point,77.18433237721042,28.498402329574045,Chattarpur,2024-12-16T01:20:29,False
theft,Close month parent who up sense ready require human public health tonight later.,5,Point,77.12422909517949,28.53529126380212,Mahipalpur,2024-09-18T18:02:11,False
theft,Ask again network open according remain arrive attack.,3,Point,77.25057795457934,28.50548997796418,Sangam Vihar,2024-06-26T16:10:42,False
other,Audience draw protect Democrat car very number line six space.,5,Point,77.06989465155598,28.478923992887427,IFFCO Chowk,2024-08-27T10:08:15,True
