type,description,severity,location.type,location.coordinates,reportedAt,verified
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.076422, 28.457529]",18-09-2024 13:24,FALSE
poor_lighting,Area reported to have poor street lighting,2,Point,"[77.497732, 28.704601]",22-12-2022 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,4,Point,"[77.375673, 28.500815]",05-11-2023 13:24,TRUE
theft,Reported theft case,3,Point,"[77.461005, 28.644342]",24-12-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,3,Point,"[77.278731, 28.408525]",24-04-2023 13:24,FALSE
other,Miscellaneous safety concern reported,3,Point,"[77.06673, 28.455528]",01-05-2024 13:24,TRUE
theft,Reported theft case,5,Point,"[77.311609, 28.448788]",22-10-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,5,Point,"[77.198113, 28.600415]",22-05-2024 13:24,FALSE
other,Miscellaneous safety concern reported,1,Point,"[77.276335, 28.456372]",10-09-2023 13:24,TRUE
harassment,Reported incident of harassment,3,Point,"[77.468637, 28.667304]",11-06-2023 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.31059, 28.430072]",07-09-2024 13:24,TRUE
other,Miscellaneous safety concern reported,5,Point,"[77.355564, 28.508017]",17-06-2023 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,2,Point,"[77.177074, 28.643009]",01-05-2023 13:24,TRUE
other,Miscellaneous safety concern reported,1,Point,"[77.236294, 28.580332]",18-04-2024 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,3,Point,"[77.277934, 28.362457]",02-03-2025 13:24,TRUE
poor_lighting,Area reported to have poor street lighting,4,Point,"[77.183365, 28.652207]",06-05-2024 13:24,TRUE
unsafe_area,Known unsafe area based on prior incidents,5,Point,"[77.022314, 28.414279]",28-04-2025 13:24,FALSE
other,Miscellaneous safety concern reported,2,Point,"[77.003596, 28.424016]",12-11-2024 13:24,FALSE
harassment,Reported incident of harassment,3,Point,"[77.426526, 28.548253]",19-12-2024 13:24,TRUE
harassment,Reported incident of harassment,3,Point,"[77.421728, 28.697184]",19-07-2024 13:24,FALSE
unsafe_area,Known unsafe area based on prior incidents,3,Point,"[77.33961, 28.435458]",04-05-2025 13:24,FALSE
harassment,Reported incident of harassment,2,Point,"[77.327444, 28.427071]",24-02-2025 13:24,FALSE
